iter	Passed	Remaining
1400	44837	3168
1401	44865	3136
1402	44895	3103
1403	44928	3072
1404	44955	3039
1405	44986	3007
1406	45013	2975
1407	45041	2943
1408	45068	2910
1409	45097	2878
1410	45127	2846
1411	45156	2814
1412	45183	2781
1413	45215	2750
1414	45248	2718
1415	45277	2685
1416	45306	2653
1417	45338	2621
1418	45385	2590
1419	45410	2558
1420	45440	2526
1421	45470	2494
1422	45501	2462
1423	45531	2430
1424	45559	2397
1425	45590	2365
1426	45619	2333
1427	45645	2301
1428	45677	2269
1429	45703	2237
1430	45734	2205
1431	45763	2173
1432	45790	2140
1433	45820	2108
1434	45852	2076
1435	45883	2044
1436	45913	2012
1437	45943	1980
1438	45973	1948
1439	46000	1916
1440	46027	1884
1441	46054	1852
1442	46080	1820
1443	46108	1788
1444	46134	1755
1445	46163	1723
1446	46191	1691
1447	46220	1659
1448	46248	1627
1449	46273	1595
1450	46298	1563
1451	46324	1531
1452	46361	1499
1453	46393	1467
1454	46423	1435
1455	46451	1403
1456	46478	1371
1457	46506	1339
1458	46532	1307
1459	46557	1275
1460	46583	1243
1461	46609	1211
1462	46635	1179
1463	46663	1147
1464	46689	1115
1465	46716	1083
1466	46743	1051
1467	46769	1019
1468	46799	987
1469	46831	955
1470	46869	924
1471	46899	892
1472	46928	860
1473	46958	828
1474	46985	796
1475	47012	764
1476	47037	732
1477	47062	700
1478	47087	668
1479	47115	636
1480	47141	604
1481	47170	572
1482	47197	541
1483	47229	509
1484	47255	477
1485	47282	445
1486	47311	413
1487	47339	381
1488	47371	349
1489	47402	318
1490	47431	286
1491	47461	254
1492	47489	222
1493	47516	190
1494	47541	159
1495	47566	127
1496	47594	95
1497	47619	63
1498	47645	31
1499	47672	0
