iter	Passed	Remaining
829	41681	33646
830	41727	33592
831	41776	33541
832	41823	33489
833	41879	33443
834	41933	33396
835	41974	33338
836	42011	33277
837	42057	33224
838	42096	33165
839	42141	33111
840	42179	33051
841	42243	33012
842	42289	32958
843	42334	32904
844	42373	32845
845	42426	32798
846	42469	32742
847	42507	32682
848	42559	32633
849	42603	32579
850	42645	32522
851	42696	32473
852	42745	32422
853	42789	32367
854	42830	32310
855	42873	32255
856	42917	32200
857	42976	32157
858	43026	32106
859	43071	32053
860	43121	32003
861	43170	31952
862	43224	31904
863	43279	31858
864	43331	31809
865	43375	31755
866	43429	31707
867	43472	31652
868	43518	31599
869	43565	31547
870	43608	31491
871	43655	31440
872	43711	31394
873	43752	31337
874	43797	31283
875	43842	31230
876	43884	31174
877	43932	31123
878	43980	31071
879	44018	31013
880	44068	30962
881	44109	30906
882	44151	30850
883	44196	30797
884	44248	30748
885	44289	30692
886	44335	30640
887	44379	30585
888	44436	30541
889	44478	30485
890	44531	30437
891	44571	30380
892	44621	30330
893	44677	30284
894	44721	30230
895	44764	30176
896	44812	30124
897	44850	30066
898	44892	30011
899	44948	29965
900	44988	29909
901	45026	29850
902	45072	29798
903	45117	29745
904	45173	29699
905	45226	29651
906	45267	29596
907	45311	29542
908	45359	29491
909	45402	29436
910	45448	29384
911	45502	29337
912	45544	29281
913	45594	29232
914	45637	29178
915	45673	29119
916	45724	29070
917	45765	29014
918	45809	28961
919	45844	28901
920	45893	28851
921	45934	28796
922	45989	28749
923	46039	28699
924	46074	28641
925	46111	28583
926	46152	28527
927	46197	28475
928	46231	28415
929	46264	28355
930	46300	28297
931	46345	28245
932	46384	28188
933	46435	28139
934	46478	28086
935	46513	28027
936	46549	27969
937	46589	27913
938	46631	27859
939	46671	27804
940	46708	27747
941	46752	27694
942	46791	27638
943	46834	27584
944	46872	27528
945	46909	27471
946	46950	27416
947	46989	27361
948	47038	27311
949	47080	27257
950	47122	27203
951	47160	27147
952	47196	27089
953	47236	27034
954	47271	26976
955	47312	26922
956	47354	26868
957	47407	26821
958	47456	26771
959	47494	26715
960	47526	26656
961	47560	26598
962	47597	26541
963	47633	26485
964	47683	26436
965	47715	26377
966	47764	26327
967	47804	26272
968	47841	26216
